# Common Inorganic and Ionic Compounds  Names, Ions, and Formulas (Not Oxygen Functional Groups in Organic Naming)

| Common name | Chemical name | Formula | Contains oxygen? | Type (ionic/molecular) | Notes |
| --- | --- | --- | --- | --- | --- |
| Table salt | Sodium chloride | NaCl | No | Ionic | Halide salt |
| Sal ammoniac | Ammonium chloride | NH4Cl | No | Ionic | Ammonium salt |
| Baking soda | Sodium bicarbonate | NaHCO3 | Yes | Ionic | Carbonate system |
| Washing soda | Sodium carbonate | Na2CO3 | Yes | Ionic | Basic salt |
| Bleach | Sodium hypochlorite | NaOCl | Yes | Ionic | Oxidizer |
| Quicklime | Calcium oxide | CaO | Yes | Ionic | Basic oxide |
| Slaked lime | Calcium hydroxide | Ca(OH)2 | Yes | Ionic | Strong base |
| Potash | Potassium carbonate | K2CO3 | Yes | Ionic | Fertilizer/soapmaking |
| Epsom salt | Magnesium sulfate heptahydrate | MgSO4·7H2O | Yes | Ionic | Hydrate |
| Alum | Potassium aluminum sulfate dodecahydrate | KAl(SO4)2·12H2O | Yes | Ionic | Double salt |
