# Reading School
> Subjects taught

| Subject | Taught at KS3 | Taught at GCSE | Taught at A level |
| --- | --- | --- | --- |
| Classical Greek | Taught in KS3 as part of higher set Classics (Compulsory) | No | No |
| Art | Compulsory | Yes | Yes |
| Biology | Compulsory | Compulsory | Yes |
| Business Studies | No | No | No |
| Chemistry | Compulsory | Compulsory | Yes |
| Classical Civilisation | Taught in KS3 as part of Classics (Compulsory) | Yes | If demand is sufficient |
| Computer Science | Compulsory, from Year 8 | Yes | Yes |
| Drama | Compulsory | Yes | Yes |
| Economics | No | Yes | Yes |
| Electronics | Compulsory, from Year 8, during "Computer Science" lessons | Yes | No |
| English | Compulsory | Compulsory | Yes |
| French | Compulsory | Yes (one language must be chosen) | Yes |
| Geography | Compulsory | Yes | Yes |
| German | Not taught in Year 7; Year 8 students must choose German or Spanish | Yes (one language must be chosen) | Yes |
| History | Compulsory | Yes | Yes |
| ICT | Year 7 | No | No |
| Latin | Compulsory until year 9 where lower sets do classical civilization. | Yes (Can now be taken as only language) | Yes |
| Mandarin Chinese | No | No | If demand is sufficient |
| Mathematics * | Compulsory | Compulsory | Yes |
| Music | Compulsory | Yes | Yes |
| Physical Education | Compulsory | Yes** | Yes** |
| Physics | Compulsory | Compulsory | Yes |
| PSHE | Year 7 (though taught in tutor groups in years 8 and 9) | Yes | Yes (twice per term) |
| Religious Studies | Compulsory | Compulsory | As an extra-curricular option |
| Spanish | Not taught in Year 7; Year 8 students must choose German or Spanish | Yes (one language must be chosen) | No |
