# Swing-State Voter Preference  General Election Polls (Not Primary Electorate)

| State | Contest | Pollster | Field Dates | Sample | Results |
| --- | --- | --- | --- | --- | --- |
| Pennsylvania | General Election: Trump vs. Biden | Monmouth University | Jan 9-14 | LV | Trump 47, Biden 45 |
| Michigan | General Election: Trump vs. Biden | EPIC-MRA | Jan 7-10 | LV | Trump 46, Biden 44 |
| Wisconsin | General Election: Trump vs. Biden | Marquette Law School | Jan 3-8 | RV | Trump 45, Biden 44 |
| Arizona | General Election: Trump vs. Biden | OH Predictive Insights | Jan 4-9 | LV | Trump 46, Biden 43 |
| Georgia | General Election: Trump vs. Biden | InsiderAdvantage | Jan 6-8 | LV | Trump 48, Biden 44 |
| Nevada | General Election: Trump vs. Biden | Suffolk University | Jan 5-9 | LV | Trump 47, Biden 44 |
| North Carolina | General Election: Trump vs. Biden | Meredith College | Jan 8-12 | LV | Trump 46, Biden 45 |
| Florida | General Election: Trump vs. Biden | Mason-Dixon | Jan 2-6 | RV | Trump 48, Biden 43 |
| Minnesota | General Election: Trump vs. Biden | SurveyUSA | Jan 10-13 | RV | Biden 47, Trump 44 |
| Virginia | General Election: Trump vs. Biden | Roanoke College | Jan 5-9 | RV | Biden 46, Trump 45 |
