# Clifton All Whites F.C.
> Honours

| Year | League | Honours |
| --- | --- | --- |
| 1964 | Young Elizabethan League U12 | League Champions, Cup Finalists |
| 1964 | Notts Church League U14 | League Champions and Cup Finalists |
| 1965 | Young Elizabethan League U12 | League Champions, Cup Finalists |
| 1965 | Notts Church League U14 | League Champions and Cup Finalists |
| 1966 | Young Elizabethan League U12 | Cup Winners |
| 1966 | Young Elizabethan League U14 | League Champions and Cup Winners |
| 1967 | Young Elizabethan League U12 | League Champions and Cup Winners |
| 1967 | Young Elizabethan League U14 | League Champions and Cup Winners |
| 1967 | Young Elizabethan League U16 | League Champions and Cup Winners |
| 1967 | Notts Church League U14 | League Champions and Cup Winners |
| 1967 | Notts Youth League U14 | League Champions and Cup Winners |
| 1967 | Notts Youth League U16 | League Champions and Cup Winners |
| 1968 | Young Elizabethan League U12 | League Champions and Cup Winners |
| 1968 | Young Elizabethan League U14 | League Champions and Cup Winners |
| 1968 | Young Elizabethan League U16 | League Champions and Cup Winners |
| 1968 | Notts Youth League U16 | League Champions, Cup Winners and County Winners |
| 1968 | Notts Youth League U18 | League Runners Up |
| 2001/02 | Notts Youth League U16 | League Champions |
| 2007/08 | Young Elizabethan League U11 Blue Sat Div 1 | League Winners |
| 2007/08 | Young Elizabethan League U11 Blue Sun Div 2 | League Winners |
| 2008/09 | Young Elizabethan League U13 Blue Sat Div 1 | Runners Up |
| 2009/10 | Young Elizabethan League U14 Blue Sat Div 1 | Runners Up |
| 2009/10 | Young Elizabethan League U14 White Sun Div 1 | League Winners |
| 2010/11 | Young Elizabethan League U11 Blue Sat Div 3 | Runners Up |
| 2010/11 | Young Elizabethan League U12 White Sat Div 3 | Runners Up |
| 2010/11 | Young Elizabethan League U12 Blue Sat Div 3 | Runners Up |
| 2010/11 | Young Elizabethan League U14 Blue Sun Div 1 | Runners Up |
| 2010/11 | Young Elizabethan League U12 Red Sun Div 3 | Runners Up |
| 2011/12 | Young Elizabethan League U14 White Sat Div 3 | Runners Up |
| 2011/12 | Young Elizabethan League U14 White Sat Div 3 | Runners Up |
| 2012/13 | Young Elizabethan League U14 White Sat Div 3 | Runners Up |
| 2012/13 | Young Elizabethan League U11 White Sat Div 2 | Winners |
| 2012/13 | Notts Youth League U15 Blue Sun Div 1 | Runners Up |
| 2012/13 | Notts Youth League Cup U14 Blue Sun | Winners |
