# Amino Acids in Foods (Amounts per 100 g)

| Food | Protein (g/100 g) | Lysine (mg/100 g) | Leucine (mg/100 g) | Methionine (mg/100 g) | Tryptophan (mg/100 g) | Notes |
|---|---:|---:|---:|---:|---:|---|
| Chicken breast | 31.0 | 2700 | 2500 | 780 | 330 | Animal protein |
| Eggs (whole) | 12.6 | 900 | 1090 | 390 | 170 | Complete profile |
| Milk (2%) | 3.4 | 260 | 330 | 90 | 45 | Dairy |
| Soybeans (cooked) | 16.6 | 1200 | 1300 | 280 | 230 | Plant complete |
| Lentils (cooked) | 9.0 | 630 | 650 | 90 | 80 | Often low Met |
| Rice (cooked) | 2.7 | 90 | 110 | 35 | 25 | Often low Lys |
| Oats (dry) | 16.9 | 550 | 1200 | 310 | 220 | Cereal grain |
| Almonds | 21.2 | 580 | 1500 | 240 | 210 | Nuts |
| Tuna | 29.0 | 2500 | 2400 | 700 | 300 | Fish |
| Peas (cooked) | 5.4 | 420 | 480 | 70 | 60 | Legume |
