# Zodiac Sign Date Ranges, Symbols, and Keywords (Quick Reference)

| Zodiac Sign | Date Range | Symbol | Element | Modality | Keywords |
|---|---|---|---|---|---|
| Aries | Mar 21 – Apr 19 | Ram | Fire | Cardinal | initiative, courage |
| Taurus | Apr 20 – May 20 | Bull | Earth | Fixed | stability, pleasure |
| Gemini | May 21 – Jun 20 | Twins | Air | Mutable | curiosity, exchange |
| Cancer | Jun 21 – Jul 22 | Crab | Water | Cardinal | protection, emotion |
| Leo | Jul 23 – Aug 22 | Lion | Fire | Fixed | pride, creativity |
| Virgo | Aug 23 – Sep 22 | Maiden | Earth | Mutable | service, analysis |
| Libra | Sep 23 – Oct 22 | Scales | Air | Cardinal | balance, partnership |
| Scorpio | Oct 23 – Nov 21 | Scorpion | Water | Fixed | intensity, depth |
| Sagittarius | Nov 22 – Dec 21 | Archer | Fire | Mutable | expansion, truth |
| Capricorn | Dec 22 – Jan 19 | Goat | Earth | Cardinal | ambition, structure |
| Aquarius | Jan 20 – Feb 18 | Water Bearer | Air | Fixed | innovation, community |
| Pisces | Feb 19 – Mar 20 | Fish | Water | Mutable | compassion, imagination |
