# Commonwealth of Independent States
> Economic data

| Country | Population (2015) | GDP 2007 (USD) | GDP 2012 (USD) | GDP growth (2012) | GDP per capita (2007) | GDP per capita (2012) |
| --- | --- | --- | --- | --- | --- | --- |
| Belarus | 9,475,100 | 45,275,738,770 | 58,215,000,000 | 4.3% | 4,656 | 6,710 |
| Kazakhstan | 17,417,447 | 104,849,915,344 | 196,642,000,000 | 5.2% | 6,805 | 11,700 |
| Kyrgyzstan | 5,776,500 | 3,802,570,572 | 6,197,000,000 | 0.8% | 711 | 1,100 |
| Russia | 146,270,033 | 1,294,381,844,081 | 2,022,000,000,000 | 3.4% | 9,119 | 14,240 |
| Tajikistan | 8,610,000 | 2,265,340,888 | 7,263,000,000 | 2.1% | 337 | 900 |
| Uzbekistan | 31,025,500 | 22,355,214,805 | 51,622,000,000 | 4.1% | 831 | 1,800 |
| Azerbaijan | 9,356,100 | 33,049,426,816 | 71,043,000,000 | 3.8% | 3,829 | 7,500 |
| Moldova | 3,558,200 | 4,401,137,824 | 7,589,000,000 | 4.4% | 1,200 | 2,100 |
| Armenia | 3,022,000 | 9,204,496,419 | 10,551,000,000 | 2.1% | 2,996 | 3,500 |
