# List of members of the Baseball Hall of Fame
> Members

| Year | Name | Primary position | Primary team | Career | Induction method | Vote % | Ref |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1936 | Cobb, Ty Ty Cobb | CF | Detroit Tigers | 1905–1928 | BBWAA | 98.23% | [9] |
| 1936 | Johnson, Walter Walter Johnson | P | Washington Senators | 1907–1927 | BBWAA | 83.63% | [10] |
| 1936 | Mathewson, Christy Christy Mathewson | P | New York Giants | 1900–1916 | BBWAA | 90.71% | [11] |
| 1936 | Ruth, Babe Babe Ruth | RF | New York Yankees | 1914–1935 | BBWAA | 95.13% | [12] |
| 1936 | Wagner, Honus Honus Wagner | SS | Pittsburgh Pirates | 1897–1917 | BBWAA | 95.13% | [13] |
| 1937 | Bulkeley, Morgan Morgan Bulkeley | EXEC | -1 ! — | 1874–1876 | VC | -1 ! — 1 | [14] |
| 1937 | Johnson, Byron Byron Johnson | EXEC | -1 ! — | 1900–1927 | VC | -1 ! — 1 | [15] |
| 1937 | Lajoie, Nap Nap Lajoie | 2B | Cleveland Indians | 1896–1916 | BBWAA | 83.58% | [16] |
| 1937 | Mack, Connie Connie Mack | MGR | Philadelphia Athletics | 1894–1950 | VC | -1 ! — 1 | [17] |
| 1937 | Macgraw John John McGraw | MGR | New York Giants | 1899 1901–1932 | VC | -1 ! — 1 | [18] |
| 1937 | Speaker, Tris Tris Speaker | CF | Cleveland Indians | 1907–1928 | BBWAA | 82.09% | [19] |
| 1937 | Wright, George George Wright | PIO | Boston Red Stockings | 1867–1882 | VC | -1 ! — 1 | [20] |
| 1937 | Young, Cy Cy Young | P | Cleveland Spiders [c 1] | 1890–1911 | BBWAA | 76.12% | [21] |
| 1938 | Alexander, Grover Cleveland Grover Cleveland Alexander | P | Philadelphia Phillies | 1911–1929 | BBWAA | 80.92% | [22] |
| 1938 | Cartwright, Alexander Alexander Cartwright | PIO | Knickerbocker Base Ball Club | -1 ! — | VC | -1 ! — 1 | [23] |
| 1938 | Chadwick, Henry Henry Chadwick | PIO | -1 ! — | -1 ! — | VC | -1 ! — 1 | [24] |
| 1939 | Anson, Cap Cap Anson | 1B | Chicago White Stockings | 1871–1897 | VC | -1 ! — 1 | [25] |
| 1939 | Collins, Eddie Eddie Collins | 2B | Philadelphia Athletics | 1906–1930 | BBWAA | 77.74% | [26] |
| 1939 | Comiskey, Charles Charles Comiskey | EXEC/PIO | Chicago White Sox | 1900–1931 | VC | -1 ! — 1 | [27] |
| 1939 | Cummings, Candy Candy Cummings | EXEC | Hartford Dark Blues | 1872–1877 | VC | -1 ! — 1 | [28] |
| 1939 | Ewing, Buck Buck Ewing | C | New York Giants | 1880–1897 | VC | -1 ! — 1 | [29] |
| 1939 | Gehrig, Lou Lou Gehrig | 1B | New York Yankees | 1923–1939 | BBWAA | -1 ! — 4 | [30] |
| 1939 | Keeler, Willie Willie Keeler | RF | New York Highlanders [c 2] | 1892–1910 | BBWAA | 75.55% | [31] |
| 1939 | Radbourn, Charles Charles Radbourn | P | Providence Grays | 1881–1891 | VC | -1 ! — 1 | [32] |
| 1939 | Sisler, George George Sisler | 1B | St. Louis Browns | 1915–1922 1924–1930 | BBWAA | 85.77% | [33] |
| 1939 | Spalding, Al Al Spalding | EXEC/PIO | Chicago White Stockings | 1871–1878 | VC | -1 ! — 1 | [34] |
