# India Government Jobs 2024-2025  Mixed Eligibility Openings (10th 12th Diploma Graduate)

| Hiring Body | Recruitment / Post | Vacancies | Eligible Qualification | Notes |
|---|---|---:|---|---|
| Indian Railways (RRC) | Apprentice (Fitter/Electrician) | 2400 | 10th + ITI | Trade-based intake |
| State PWD | Junior Engineer (Civil) | 180 | Diploma / Degree | Allows diploma AND degree |
| Municipal Corporation | Technical Assistant | 65 | Diploma | City-level technical role |
| Health Department | Lab Technician | 90 | 12th + DMLT / Diploma | Multiple routes accepted |
| DRDO (CEPTAM) | Technician-A | 300 | 10th + ITI | Not diploma-specific |
| SSC | Junior Engineer | 968 | Diploma / Degree | Central exam; mixed eligibility |
| India Post | Postal Assistant | 1500 | 12th | Clerical |
| Power Utility | Junior Engineer (Electrical) | 120 | Diploma | Diploma-friendly |
| State Transport | Supervisor | 55 | Graduate | Non-diploma |
| Forest Department | Surveyor | 40 | Diploma / ITI | Mixed group |
| PSU (Refinery) | Operator Trainee | 110 | Diploma / BSc | Multiple qualification bands |
