# State Income Tax Return Filing Deadlines (Standard Due Date vs. Due Date After Extension)

| State | Standard return due date | Extension filing due date | Return due date after extension | Notes |
|---|---|---|---|---|
| Alabama | April 15 | April 15 | October 15 | Typically aligns with federal deadline; date can shift if weekend/holiday |
| Arizona | April 15 | April 15 | October 15 | Extension generally extends filing, not payment |
| California | April 15 | April 15 (automatic) | October 15 | Automatic extension to file for most taxpayers |
| Colorado | April 15 | April 15 | October 15 | Commonly mirrors federal calendar |
| Connecticut | April 15 | April 15 | October 15 | Payment generally still due by standard deadline |
| Georgia | April 15 | April 15 | October 15 | Extension extends filing deadline to fall |
| Kentucky | April 15 | April 15 | October 15 | State-level summary for individual returns |
| North Carolina | April 15 | April 15 | October 15 | Extension applies to return filing deadline |
| Virginia | May 1 | May 1 | November 1 | Virginia uses a later standard due date than many states |
| Wisconsin | April 15 | April 15 | October 15 | Filing extended; interest may apply on unpaid tax |
