# High-Density Metals Ranked by Density (g cm³)

| Density (g/cm³) | Metal (Element) | Symbol | Notes |
|---:|---|---|---|
| 8.57 | Nickel | Ni | Common structural metal |
| 8.90 | Cobalt | Co | Ferromagnetic |
| 10.22 | Molybdenum | Mo | High melting point |
| 10.49 | Silver | Ag | Precious metal |
| 11.85 | Palladium | Pd | Platinum group |
| 12.02 | Mercury | Hg | Liquid at room temperature |
| 16.65 | Tantalum | Ta | Corrosion resistant |
| 19.25 | Tungsten | W | Very high melting point |
| 21.02 | Rhenium | Re | Very high density |
| 21.45 | Platinum | Pt | Platinum group |
| 22.56 | Iridium | Ir | Platinum group |
| 22.59 | Osmium | Os | Densest stable element |
