# Galveston, TX Departures — Upcoming Sailings (Sample Schedule by Date & Route)

| Sailing window | Cruise line | Ship | Trip length (nights) | Itinerary / route overview | Key ports of call | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| 2026-02-08 | Carnival | Carnival Breeze | 7 | Western Caribbean loop from Galveston | Cozumel • Belize City • Roatán | Roundtrip (embark/disembark Galveston) |
| 2026-02-15 | Royal Caribbean | Liberty of the Seas | 7 | Western Caribbean loop from Galveston | Costa Maya • Cozumel • Roatán | Roundtrip |
| 2026-02-20 | Disney Cruise Line | Disney Magic | 5 | Short Western Caribbean from Galveston | Cozumel • Progreso | Roundtrip |
| 2026-03-01 | Carnival | Carnival Dream | 6 | Western Caribbean from Galveston | Key West • Cozumel | Roundtrip |
| 2026-03-08 | Royal Caribbean | Mariner of the Seas | 5 | Western Caribbean from Galveston | Cozumel • Costa Maya | Roundtrip |
| 2026-03-15 | Carnival | Carnival Jubilee | 7 | Western Caribbean loop from Galveston | Cozumel • Costa Maya • Mahogany Bay | Roundtrip |
| 2026-03-22 | Norwegian Cruise Line | Norwegian Prima | 7 | Caribbean route from Galveston | Harvest Caye • Roatán • Cozumel | Roundtrip |
| 2026-04-05 | Carnival | Carnival Valor | 4 | Quick Mexico getaway from Galveston | Cozumel | Roundtrip |
| 2026-04-12 | Royal Caribbean | Voyager of the Seas | 8 | Extended Western Caribbean from Galveston | Cozumel • Roatán • Belize City • Costa Maya | Roundtrip |
