# Comparison of Microsoft Surface Pro model weights (tablet-only)

| Surface Pro model | Variant / configuration | Weight (g) | Weight (lb) | Notes |
|---|---|---:|---:|---|
| Surface Pro 3 | Core i3 / 64GB | 800 | 1.76 | Tablet only (without Type Cover) |
| Surface Pro 3 | Core i5 / 128GB | 800 | 1.76 | Same chassis weight across i5 configs |
| Surface Pro 3 | Core i7 / 256GB | 800 | 1.76 | Same chassis weight across i7 configs |
| Surface Pro 4 | Core m3 | 766 | 1.69 | Lighter fanless base option |
| Surface Pro 4 | Core i5 | 786 | 1.73 | Weight listed by CPU tier |
| Surface Pro 4 | Core i7 | 786 | 1.73 | Same as i5 for this generation |
| Surface Pro (5th Gen, 2017) | Core m3 | 770 | 1.70 | Often marketed simply as “Surface Pro” |
| Surface Pro (5th Gen, 2017) | Core i5 / Core i7 | 784 | 1.73 | i5 and i7 share the same tablet weight |
| Surface Pro 6 | All CPU options | 784 | 1.73 | Weight consistent across typical configs |
| Surface Pro 7 | All CPU options | 775 | 1.71 | Slightly lighter than Pro 6 |
| Surface Pro 7+ | Wi‑Fi model | 796 | 1.75 | Heavier due to internal changes |
| Surface Pro 7+ | LTE Advanced model | 812 | 1.79 | LTE variant heavier than Wi‑Fi |
| Surface Pro 8 | Wi‑Fi model | 891 | 1.96 | New chassis generation |
| Surface Pro 8 | LTE model | 891 | 1.96 | Same listed tablet weight |
| Surface Pro 9 | Intel (Wi‑Fi) | 879 | 1.94 | Intel configuration |
| Surface Pro 9 | Intel (5G) | 883 | 1.95 | 5G variant slightly heavier |
| Surface Pro 9 | SQ3 (5G) | 878 | 1.94 | Arm-based 5G configuration |
| Surface Pro 10 (for Business) | Intel (Wi‑Fi/LTE) | 879 | 1.94 | Business line model weight |
| Surface Pro 11th Edition | Snapdragon X Plus | 895 | 1.97 | Arm-based consumer generation |
| Surface Pro 11th Edition | Snapdragon X Elite | 895 | 1.97 | Same tablet weight across these SKUs |
