# Per-Serving Glycemic Load with Full Macronutrient Panel (Carbs, Protein, Fat, Sodium)

| Food | Serving size | Glycemic load (GL) | Total carbs (g) | Sugars (g) | Protein (g) | Fat (g) | Sodium (mg) |
|---|---:|---:|---:|---:|---:|---:|---:|
| French fries | 117 g | 28 | 41 | 0.5 | 4 | 15 | 246 |
| White rice | 150 g | 33 | 52 | 0.1 | 4 | 0.4 | 2 |
| Apple | 182 g | 6 | 25 | 19 | 0.5 | 0.3 | 2 |
| Banana | 118 g | 13 | 27 | 14 | 1.3 | 0.4 | 1 |
| Chickpeas | 164 g | 12 | 45 | 8 | 15 | 4 | 11 |
| Lentils | 198 g | 7 | 40 | 3.5 | 18 | 0.8 | 4 |
| Cola | 355 ml | 16 | 39 | 39 | 0 | 0 | 15 |
| Ice cream | 132 g | 21 | 31 | 28 | 5 | 11 | 130 |
| Plain yogurt | 170 g | 4 | 7 | 7 | 9 | 5 | 107 |
