# Senate Party Composition by Congress (Selected Congresses)

| Congress | Years | State | Senator | Party |
|---|---|---|---|---|
| 93rd | 1973–1975 | Massachusetts | Ted Kennedy | Democratic |
| 93rd | 1973–1975 | North Carolina | Jesse Helms | Republican |
| 94th | 1975–1977 | Indiana | Birch Bayh | Democratic |
| 94th | 1975–1977 | Kansas | Bob Dole | Republican |
| 95th | 1977–1979 | Idaho | Frank Church | Democratic |
| 95th | 1977–1979 | New York | Daniel Patrick Moynihan | Democratic |
| 96th | 1979–1981 | Utah | Orrin Hatch | Republican |
| 96th | 1979–1981 | Georgia | Sam Nunn | Democratic |
| 97th | 1981–1983 | South Carolina | Strom Thurmond | Republican |
| 97th | 1981–1983 | Michigan | Carl Levin | Democratic |
| 98th | 1983–1985 | Pennsylvania | Arlen Specter | Republican |
| 98th | 1983–1985 | West Virginia | Robert Byrd | Democratic |
