# Selected LGBT Characters in Screen Productions (Films & TV)

| Character | Title | LGBT Category | Production Type | Notes |
| --- | --- | --- | --- | --- |
| Elio Perlman | Call Me by Your Name | Gay | Film | Coming-of-age romance |
| Carol Aird | Carol | Lesbian | Film | Romantic drama |
| Chiron | Moonlight | Gay | Film | Identity-focused drama |
| Hedwig Robinson | Hedwig and the Angry Inch | Transgender / Gender-nonconforming | Film | Rock musical film |
| Nomi Marks | Sense8 | Transgender | TV Series | One of the central characters |
| Sophia Burset | Orange Is the New Black | Transgender | TV Series | Inmate and parent |
| David Fisher | Six Feet Under | Gay | TV Series | Funeral-home family drama |
| Villanelle | Killing Eve | Bisexual | TV Series | Spy thriller series |
| Omar Little | The Wire | Gay | TV Series | Crime drama series |
| Theo Putnam | The Chilling Adventures of Sabrina | Transgender | TV Series | Student and friend group member |
