# List of LGBT characters in film
> M

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Ian Maxtone-Jones | Just Go With It | Gay | Film |
| Mark | Trick | Gay | Film |
| Peter Malloy | In and Out | Gay | Film |
| Nomi Malone | Showgirls | Bisexual | Film |
| Father Manolo | Bad Education | Gay | Film |
| Christian Markelli | Latter Days | Gay | Film |
| Martin | Kissing Jessica Stein | Gay | Film |
| Matthew | Four Weddings and a Funeral | Gay | Film |
| Neil McCormick | Mysterious Skin | Gay | Film |
| McKinley | Wet Hot American Summer | Gay | Film |
| Eric McNally | Breakfast with Scot | Gay | Film |
| Meduna | Night When Evil Falls | Pansexual | Anime |
| Robbie Mercer | Scream 4 | Bisexual? | Film |
| Tammy Metzler | Election | Lesbian | Film |
| Michel | Chacun Cherche son Chat | Gay | Film |
| Mike | But I'm a Cheerleader | Gay | Film |
| Harvey Milk | Milk | Gay | Film |
| Mitch | Saved! | Gay | Film |
| Jeff Mitchell | The Sum Of Us | Gay | Film |
| Misty Monroe | Girltrash! | Lesbian | TV / Film |
| Miti | Night When Evil Falls | Bisexual | Anime |
| Luis Molina | Kiss of the Spider Woman | Gay | Film |
| Hollywood Montrose | Mannequin | Gay | Film |
| Phillip Morgan | Rope | Gay | Film |
| Larry Morgan-Gordon | But I'm a Cheerleader | Gay | Film |
| Peter Morton | Peter's Friends | Gay | Film |
| Rich Munsch | I Love You, Beth Cooper | Gay/Bisexual | Film |
| Tyler Murphy | Girltrash! | Lesbian | TV / Film |
