# Alkane Isomers and Branching  Names and Isomer Counts (No Boiling Points)

| Carbon Count | Formula | Example Names (selected) | Number of Structural Isomers |
|---:|---|---|---:|
| 1 | CH4 | methane | 1 |
| 2 | C2H6 | ethane | 1 |
| 3 | C3H8 | propane | 1 |
| 4 | C4H10 | n-butane; isobutane | 2 |
| 5 | C5H12 | n-pentane; isopentane; neopentane | 3 |
| 6 | C6H14 | hexane (incl. methylpentanes, dimethylbutanes) | 5 |
| 7 | C7H16 | heptane (various) | 9 |
| 8 | C8H18 | octane (incl. iso-octane) | 18 |
| 9 | C9H20 | nonane (various) | 35 |
| 10 | C10H22 | decane (various) | 75 |
