# Selected Ocean Cruise Lines and Corporate Headquarters

| Cruise line | Parent company (if any) | Headquarters (city) | Headquarters (country/region) | Primary market/brand focus | Status |
| --- | --- | --- | --- | --- | --- |
| Carnival Cruise Line | Carnival Corporation & plc | Miami, Florida | United States | Contemporary / mass-market | Operating |
| Celebrity Cruises | Royal Caribbean Group | Miami, Florida | United States | Premium | Operating |
| Cunard Line | Carnival Corporation & plc | Southampton, England | United Kingdom | Luxury / transatlantic heritage | Operating |
| Holland America Line | Carnival Corporation & plc | Seattle, Washington | United States | Premium | Operating |
| MSC Cruises | MSC Group | Geneva | Switzerland | Contemporary (global) | Operating |
| Norwegian Cruise Line | Norwegian Cruise Line Holdings | Miami, Florida | United States | Contemporary | Operating |
| Oceania Cruises | Norwegian Cruise Line Holdings | Miami, Florida | United States | Upper-premium | Operating |
| Princess Cruises | Carnival Corporation & plc | Santa Clarita, California | United States | Premium | Operating |
| P&O Cruises (UK) | Carnival Corporation & plc | Southampton, England | United Kingdom | British market | Operating |
| Silversea Cruises | Royal Caribbean Group | Monaco | Monaco | Luxury / expedition | Operating |
| Viking Ocean Cruises | Viking | Basel | Switzerland | Premium (adult-focused) | Operating |
| Windstar Cruises | Xanterra Travel Collection | Miami, Florida | United States | Small-ship / boutique | Operating |
