# Pennsylvania Lottery
> Pennsylvania - only draw games

| Bet | Probability | Prize |
| --- | --- | --- |
| Straight | 1:100,000 | $50,000 |
| 5 Way Box | 1:20,000 | $10,000 |
| 10 Way Box | 1:10,000 | $5,000 |
| 20 Way Box | 1:5,000 | $2,500 |
| 30 Way Box | 1:3,333.3 | $1,700 |
| 60 Way Box | 1:1,666.7 | $850 |
| 120 Way Box | 1:833.3 | $425 |
| Front 4 | 1:10,000 | $5,000 |
| Back 4 | 1:10,000 | $5,000 |
| Front 3 | 1:1,000 | $500 |
| Back 3 | 1:1,000 | $500 |
| Front Pair | 1:100 | $50 |
| Back Pair | 1:100 | $50 |
