# Spine MRI CPT Codes by Region (Non-Contrast, Contrast, and With Without Contrast)

| Spinal Region | Exam Variant | CPT Code | Notes |
|---|---|---:|---|
| Cervical Spine | Without contrast | 72141 | Standard cervical spine MRI without IV contrast |
| Cervical Spine | With contrast | 72142 | Post-contrast cervical spine MRI |
| Cervical Spine | With and without contrast | 72156 | Includes both non-contrast and contrast sequences |
| Thoracic Spine | Without contrast | 72146 | Standard thoracic spine MRI without IV contrast |
| Thoracic Spine | With contrast | 72147 | Post-contrast thoracic spine MRI |
| Thoracic Spine | With and without contrast | 72157 | Includes both non-contrast and contrast sequences |
| Lumbar Spine | Without contrast | 72148 | Lumbar/lumbosacral spine MRI without IV contrast |
| Lumbar Spine | With contrast | 72149 | Post-contrast lumbar spine MRI |
| Lumbar Spine | With and without contrast | 72158 | Includes both non-contrast and contrast sequences |
| Sacrum/Coccyx | Without contrast | 72195 | Focused MRI of sacrum/coccyx without IV contrast |
| Sacrum/Coccyx | With contrast | 72196 | Post-contrast sacrum/coccyx MRI |
| Sacrum/Coccyx | With and without contrast | 72197 | Includes both non-contrast and contrast sequences |
