# Common Prescription Product Suffixes and Dosage-Form Labels (Abbreviations)

| Abbreviation | Expansion (Product/Formulation Meaning) | Typical Use on Labels |
|---|---|---|
| ER | Extended-release | Tablet/capsule labeling |
| IR | Immediate-release | Tablet/capsule labeling |
| SR | Sustained-release | Tablet/capsule labeling |
| CR | Controlled-release | Tablet/capsule labeling |
| XR | Extended-release | Tablet/capsule labeling |
| XL | Extended-release | Tablet/capsule labeling |
| DR | Delayed-release (enteric-coated) | Capsule/tablet labeling |
| EC | Enteric-coated | Tablet labeling |
| ODT | Orally disintegrating tablet | Dosage-form description |
| LA | Long-acting | Product naming/labeling |
| SA | Sustained-action | Product naming/labeling |
| PR | Prolonged-release | EU/UK labeling |
| MR | Modified-release | EU/UK labeling |
