# Baseball Hall of Fame balloting , 1942
> The BBWAA election

| Players | Votes | Percent |
| --- | --- | --- |
| Rogers Hornsby | 182 | 78.1 |
| Frank Chance | 136 | 58.4 |
| Rube Waddell | 126 | 54.1 |
| Ed Walsh | 113 | 48.5 |
| Miller Huggins | 111 | 47.6 |
| Ed Delahanty | 104 | 44.6 |
| Johnny Evers | 91 | 39.1 |
| Wilbert Robinson | 89 | 38.2 |
| Mickey Cochrane | 88 | 37.8 |
| Frankie Frisch | 84 | 36.1 |
| Hugh Duffy | 77 | 33.0 |
| Herb Pennock | 72 | 30.9 |
| Clark Griffith | 71 | 30.5 |
| Jimmy Collins | 68 | 29.2 |
| Rabbit Maranville | 66 | 28.3 |
| Hughie Jennings | 64 | 27.5 |
| Mordecai Brown | 63 | 27.0 |
| Eddie Plank | 63 | 27.0 |
| Joe McGinnity | 59 | 25.3 |
| Fred Clarke | 58 | 24.9 |
| Roger Bresnahan | 57 | 24.5 |
| Chief Bender | 55 | 23.6 |
| Ray Schalk | 53 | 22.7 |
| Pie Traynor | 45 | 19.3 |
| Ross Youngs | 44 | 18.9 |
| Frank Baker | 39 | 16.7 |
| Dazzy Vance | 37 | 15.9 |
| Bill Terry | 36 | 15.5 |
| Joe Tinker | 36 | 15.5 |
| Addie Joss | 33 | 14.2 |
| Johnny Kling | 15 | 6.4 |
| Nap Rucker | 15 | 6.4 |
| Babe Adams | 11 | 4.7 |
| Hank Gowdy | 8 | 3.4 |
| Kid Nichols | 5 | 2.1 |
| Jesse Burkett | 4 | 1.7 |
| Harry Heilmann | 4 | 1.7 |
| Eddie Grant | 3 | 1.3 |
| Branch Rickey | 3 | 1.3 |
| Zack Wheat | 3 | 1.3 |
| Donie Bush | 2 | 0.9 |
| Sam Crawford | 2 | 0.9 |
| Pepper Martin | 2 | 0.9 |
| Roger Peckinpaugh | 2 | 0.9 |
| Bobby Wallace | 2 | 0.9 |
| Ginger Beaumont | 1 | 0.4 |
| Jake Beckley | 1 | 0.4 |
| Joe Boley | 1 | 0.4 |
| Bill Bradley | 1 | 0.4 |
| Lave Cross | 1 | 0.4 |
| Bill Dinneen | 1 | 0.4 |
| Jack Dunn | 1 | 0.4 |
| Kid Elberfeld | 1 | 0.4 |
| Red Faber | 1 | 0.4 |
| Billy Hamilton | 1 | 0.4 |
| Babe Herman | 1 | 0.4 |
| Waite Hoyt | 1 | 0.4 |
| Joe Kelley | 1 | 0.4 |
| Dickie Kerr | 1 | 0.4 |
| Arlie Latham | 1 | 0.4 |
| Bobby Lowe | 1 | 0.4 |
| Sherry Magee | 1 | 0.4 |
| Deacon Phillippe | 1 | 0.4 |
| Edd Roush | 1 | 0.4 |
| Amos Rusie | 1 | 0.4 |
| Germany Schaefer | 1 | 0.4 |
| Everett Scott | 1 | 0.4 |
| Harry Steinfeldt | 1 | 0.4 |
| Fred Tenney | 1 | 0.4 |
| Bill Wambsganss | 1 | 0.4 |
| Hack Wilson | 1 | 0.4 |
| Smoky Joe Wood | 1 | 0.4 |
