# Notable Figures with Irish-Form Surnames (Biographical List)

| Person | Irish-Form Name | English-Form Surname | Lifespan | Role/Occupation |
|---|---|---|---|---|
| Tadhg Ó Briain | Ó Briain | O'Brien | 11th c. | King of Munster |
| Gráinne Ní Mháille | Ní Mháille | O'Malley | 1530–1603 | Pirate / chieftain |
| Dubhghall Ó Lochlainn | Ó Lochlainn | O'Loughlin | d. 1185 | King of Ailech |
| Muiris Ó Súilleabháin | Ó Súilleabháin | O'Sullivan | 1904–1950 | Writer |
| Seán Ó Faoláin | Ó Faoláin | O'Faolain | 1900–1991 | Author |
| Máire Ní Chinnéide | Ní Chinnéide | Kennedy | 1904–1980 | Activist |
| Peadar Ó Laoghaire | Ó Laoghaire | O'Leary | 1839–1920 | Priest / writer |
| Conchubhar Ó Luínse | Ó Luínse | Lynch | 20th c. | Politician |
| Eoghan Mac Cárthaigh | Mac Cárthaigh | McCarthy | 1170–1240 | Lord of Desmond |
