# Federal Felony Sentencing (U.S. Code) by Offense Category

| Federal offense category | Statute reference | Maximum imprisonment | Maximum fine (individual) | Special notes |
| --- | --- | --- | --- | --- |
| Bank robbery | 18 U.S.C. § 2113 | Up to 20 years | Up to $250,000 | Higher if weapon used or injury |
| Wire fraud | 18 U.S.C. § 1343 | Up to 20 years | Up to $250,000 | 30 years if affects a financial institution |
| Drug trafficking (controlled substances) | 21 U.S.C. § 841 | 5–40 years (varies) | Up to $5,000,000 | Depends on drug type/quantity |
| Firearm offense (felon in possession) | 18 U.S.C. § 922(g) | Up to 10 years | Up to $250,000 | ACCA can enhance to 15-year minimum |
| Identity theft (aggravated) | 18 U.S.C. § 1028A | 2 years consecutive | Up to $250,000 | Must run consecutive |
| Mail theft | 18 U.S.C. § 1708 | Up to 5 years | Up to $250,000 | Often paired with fraud counts |
| Tax evasion | 26 U.S.C. § 7201 | Up to 5 years | Up to $100,000 | Plus restitution/penalties |
| Immigration reentry (after removal) | 8 U.S.C. § 1326 | Up to 2–20 years | Up to $250,000 | Enhancements for prior felonies |
| Money laundering | 18 U.S.C. § 1956 | Up to 20 years | Up to $500,000 or twice value | Complex guideline calculations |
| RICO | 18 U.S.C. § 1962 | Up to 20 years | Up to $250,000 | Life if predicate allows life |
