# Top High-Yield Savings Accounts (U.S.) — Current APY and Requirements

| Institution | Product Type | APY | Minimum Balance for APY | Notes |
| --- | --- | --- | --- | --- |
| Ally Bank | Online Savings | 4.25% | $0 | Variable rate; not a time deposit |
| Marcus by Goldman Sachs | High-Yield Savings | 4.40% | $0 | Variable; no fixed term |
| Discover Bank | Online Savings | 4.30% | $0 | No maturity date |
| Capital One 360 | Performance Savings | 4.15% | $0 | Variable APY |
| SoFi Bank | Savings (with direct deposit) | 4.50% | $0 | Conditions apply; not a CD |
| American Express National Bank | High-Yield Savings | 4.20% | $0 | Variable; no term |
| Synchrony Bank | High-Yield Savings | 4.35% | $0 | Variable; not a CD |
| Barclays US | Online Savings | 4.10% | $0 | No term specified |
| CIT Bank | Platinum Savings | 4.55% | $5,000 | Tiered; not a certificate of deposit |
| PNC Bank | High Yield Savings | 4.00% | $0 | Variable APY; not a CD |
