# 2016 NFL Draft Positional Big Board — Defense (DL LB DB) Prospects

| Defensive Rank | Player | Pos | School |
|---:|---|---|---|
| 1 | Jalen Ramsey | CB | Florida State |
| 2 | Joey Bosa | DE | Ohio State |
| 3 | Myles Jack | LB | UCLA |
| 4 | DeForest Buckner | DT | Oregon |
| 5 | Vernon Hargreaves III | CB | Florida |
| 6 | Sheldon Rankins | DT | Louisville |
| 7 | Darron Lee | LB | Ohio State |
| 8 | Karl Joseph | S | West Virginia |
| 9 | Shaq Lawson | DE | Clemson |
| 10 | Reggie Ragland | LB | Alabama |
