# Economic and Industry 'Wars' by Sector (Non-military Usage of 'War')

| Term | Timeframe | Sector | Main competitors / actors | What 'war' refers to |
|---|---|---|---|---|
| Browser War | 1995–2001 | Technology | Netscape vs Microsoft | Competition for browser market share |
| Console War | 1990s–present | Gaming | Sony vs Nintendo vs Microsoft | Platform sales rivalry |
| Cola Wars | 1970s–present | Consumer goods | Coca-Cola vs PepsiCo | Marketing and distribution battles |
| Price War in Airlines | 2013–2016 | Aviation | Major carriers and low-cost entrants | Aggressive fare cutting |
| Streaming Wars | 2018–present | Media | Netflix vs Disney+ vs others | Subscriber acquisition race |
| Talent War | 2010s–present | Labor/HR | Firms competing for skilled workers | Recruitment and compensation escalation |
| Smartphone Patent War | 2010–2014 | Technology | Apple vs Samsung vs others | Litigation and IP disputes |
| Ride-hailing War | 2014–2018 | Transportation | Uber vs regional rivals | Subsidies and market capture |
| Chip War | 2019–present | Semiconductors | Firms & supply chains | Strategic competition for advanced chips |
| Retail Price War | 2000s–present | Retail | Big-box and online retailers | Discounting and margin pressure |
