# 2014 Chevrolet Camaro Touch-Up Paint Cross-Model Reference (Camaro, Impala, Chevelle)

| Vehicle | Model Year | Color Name | GM/WA Code(s) | Notes |
| --- | --- | --- | --- | --- |
| Camaro | 2014 | Red Hot | WA130X | Shared name may vary by model year |
| Camaro | 2014 | Summit White | WA8624 | Also appears on other Chevrolet lines |
| Impala | 2014 | Silver Topaz Metallic | WA101V | Not Camaro-specific |
| Impala | 2014 | Berlin Blue Metallic | WA122V | Sedan application |
| Chevelle | 1972 | Ascot Blue | 24 | Classic paint code format |
| Chevelle | 1972 | Antique White | 11 | Classic line reference |
| Camaro | 2014 | Black | WA8555 | Common GM color |
| Camaro | 2014 | Silver Ice Metallic | WA636R | Often shared across models |
| Impala | 2014 | Champagne Silver Metallic | WA102V | Not Camaro-specific |
