# Annual Mean Wage for Teachers by U.S. State (Selected States, All Teachers)

| State | Teacher category | Annual mean wage (USD) |
|---|---|---:|
| Alabama | Teachers (all levels) | 51820 |
| Arizona | Teachers (all levels) | 55210 |
| California | Teachers (all levels) | 85740 |
| Colorado | Teachers (all levels) | 64890 |
| Florida | Teachers (all levels) | 54330 |
| Georgia | Teachers (all levels) | 59460 |
| Illinois | Teachers (all levels) | 70210 |
| Massachusetts | Teachers (all levels) | 88310 |
| New York | Teachers (all levels) | 92780 |
| Texas | Teachers (all levels) | 60140 |
| Washington | Teachers (all levels) | 82190 |
