# Career Mode Team List — Scottish Premiership Clubs (Playable Sides)

| Club | City | Home stadium | Founded | Nickname |
| --- | --- | --- | --- | --- |
| Celtic | Glasgow | Celtic Park | 1887 | The Bhoys |
| Rangers | Glasgow | Ibrox Stadium | 1872 | The Gers |
| Aberdeen | Aberdeen | Pittodrie Stadium | 1903 | The Dons |
| Hearts | Edinburgh | Tynecastle Park | 1874 | The Jambos |
| Hibernian | Edinburgh | Easter Road | 1875 | The Hibees |
| Dundee United | Dundee | Tannadice Park | 1909 | The Tangerines |
| Motherwell | Motherwell | Fir Park | 1886 | The Steelmen |
| St Johnstone | Perth | McDiarmid Park | 1884 | Saints |
| Kilmarnock | Kilmarnock | Rugby Park | 1869 | Killie |
