# Irish GAA Clubs and Sponsor Names Featuring Irish Surnames (no surname-to-Gaelic mapping)

| Club (Irish) | Club (English) | Sponsor | Key Personnel | County | Notes |
|---|---|---|---|---|---|
| Cumann Lúthchleas Gael Uí Mhurcú | Murphy's GAA | Murphy Builders | A. Murphy (Chair) | Cork | Sponsor shares surname with chair |
| Na Ceallaigh | Kellys | Kelly & Sons | P. Kelly (Captain) | Galway | Team nicknamed “The Kellys” |
| Ó Súilleabháin Rovers | O'Sullivan Rovers | O'Sullivan Haulage | M. O'Sullivan (Coach) | Kerry | Irish name used for branding |
| Breathnach Harps | Walsh Harps | Walsh Electrical | D. Walsh (Treas.) | Mayo | Uses anglicized name on jerseys |
| Mac Gabhann United | Smith United | Smith Pharmacy | J. Smith (Manager) | Dublin | Club founded by local chemist |
| Uí Bhriain Gaels | O'Brien Gaels | O'Brien Transport | C. O'Brien (Vice-Capt.) | Limerick | Irish title not standardized |
| Uí Bhroin Éire Óg | Byrne Young Ireland | Byrne Motors | S. Byrne (Chair) | Wicklow | Community club |
| Ó Maoilriain Shamrocks | Ryan Shamrocks | Ryan Agri | T. Ryan (Coach) | Tipperary | Uses Irish on crest |
| Uí Fhearghail Stags | Farrell Stags | Farrell Concrete | K. Farrell (Captain) | Longford | Irish spelling varies across documents |
