# Venomous Snakes of the Appalachian Region (Regional List, Not State-Specific)

| Species (Scientific) | Common Name | Appalachian Subregion | Elevation Band | Presence Notes |
|---|---|---|---|---|
| Crotalus horridus | Timber rattlesnake | Northern Appalachians | Low–mid | Patchy distribution |
| Agkistrodon contortrix | Copperhead | Central Appalachians | Low–mid | Common in rocky woods |
| Crotalus adamanteus | Eastern diamondback rattlesnake | Southern foothills | Low | Mostly coastal/plain-adjacent |
| Sistrurus miliarius | Pygmy rattlesnake | Southern Appalachians | Low | Often in pine/edge habitat |
| Micrurus fulvius | Eastern coral snake | Southern margins | Low | Rare/secretive |
| Crotalus cerberus | Arizona black rattlesnake | N/A (out of region) | N/A | Included for comparison |
| Agkistrodon piscivorus | Cottonmouth | Southern river valleys | Low | Typically near wetlands |
| Crotalus oreganus | Western rattlesnake | N/A (out of region) | N/A | Included for comparison |
| Sistrurus catenatus | Massasauga | Western edge | Low | Limited pockets |
| Crotalus viridis | Prairie rattlesnake | N/A (out of region) | N/A | Included for contrast |
