# Seat Belt Legislation in the United States — Adoption Timeline by State (First Law Dates)

| State | Date of First Seat Belt Law | Major Update Year | Covered Population (Summary) | Reference Note |
|---|---|---|---|---|
| California | 1986-01-01 | 2007 | Adults and children in most seating positions | Early adopter |
| New York | 1984-12-01 | 2009 | Drivers and front-seat passengers | One of the earliest laws |
| Florida | 1986-07-01 | 2006 | Front-seat occupants; child rules separate | Expanded later |
| Illinois | 1985-07-01 | 2003 | Driver/front-seat; later expansions | Updated penalty structure |
| Georgia | 1988-09-01 | 2011 | Front-seat; minors broader | Major revisions |
| Michigan | 1985-07-01 | 2000 | Driver/front-seat; child coverage differs | Usage campaigns noted |
| North Carolina | 1985-10-01 | 1999 | Driver/front-seat; later all seats for kids | Incremental changes |
| Ohio | 1984-10-01 | 2006 | Driver/front-seat; passenger rules vary | Amendments frequent |
| Pennsylvania | 1983-07-01 | 2010 | Driver/front-seat; minors broader | Long amendment history |
| Virginia | 1988-07-01 | 2014 | Driver and some passengers | Multiple revisions |
