# Nazi Extermination Camps and Killing Centers (Selected) — Location by Present-day Country

| Camp / Killing Site | Locale (city/region) | Present-day country | Category | Notes |
| --- | --- | --- | --- | --- |
| Auschwitz-Birkenau (Auschwitz II) | Oświęcim, Lesser Poland | Poland | Extermination + concentration camp complex | Part of Auschwitz complex; major killing site |
| Treblinka | Treblinka (near Małkinia Górna), Masovian Voivodeship | Poland | Extermination camp | Operation Reinhard |
| Sobibór | Sobibór, Lublin Voivodeship | Poland | Extermination camp | Operation Reinhard |
| Bełżec | Bełżec, Lublin Voivodeship | Poland | Extermination camp | Operation Reinhard |
| Chełmno (Kulmhof) | Chełmno nad Nerem, Łódź Voivodeship | Poland | Killing center | Gas vans used; often classed as extermination camp |
| Majdanek (KL Lublin) | Lublin, Lublin Voivodeship | Poland | Concentration + extermination site | Also known as KL Lublin |
| Jasenovac | Jasenovac, Slavonia | Croatia | Extermination / concentration camp | Ustaše-run camp system (Axis-aligned) |
| Maly Trostenets | Near Minsk | Belarus | Extermination site | Mass shootings and gassing; Nazi-occupied USSR |
| Sajmište (Semlin) | Belgrade (Zemun) | Serbia | Concentration / killing site | German-run in occupied Yugoslavia |
| Janowska | Lviv | Ukraine | Labor + killing site | Often treated as camp with mass killings on site |
