# Participation in the Paris Agreement (UNFCCC) — country-by-country status (selected)

| Country | Status for Paris Agreement | Signature date | Ratification/Acceptance/Approval date | Entry into force for country |
|---|---|---:|---:|---:|
| Albania | Ratified | 2016-04-22 | 2016-09-21 | 2016-11-04 |
| Algeria | Ratified | 2016-04-22 | 2016-10-20 | 2016-11-04 |
| Argentina | Ratified | 2016-04-22 | 2016-09-21 | 2016-11-04 |
| Australia | Ratified | 2016-04-22 | 2016-11-10 | 2016-12-10 |
| Brazil | Ratified | 2016-04-22 | 2016-09-21 | 2016-11-04 |
| Canada | Ratified | 2016-04-22 | 2016-10-05 | 2016-11-04 |
| China | Ratified | 2016-04-22 | 2016-09-03 | 2016-11-04 |
| European Union | Approved | 2016-04-22 | 2016-10-05 | 2016-11-04 |
| India | Ratified | 2016-04-22 | 2016-10-02 | 2016-11-04 |
| Japan | Ratified | 2016-04-22 | 2016-11-08 | 2016-12-08 |
| Mexico | Ratified | 2016-04-22 | 2016-09-21 | 2016-11-04 |
| United States | Accepted | 2016-04-22 | 2016-09-03 | 2016-11-04 |
