# Public Holidays in France — Explanatory Overview by Month (Not Date-by-Date)

| Period | Holiday/observance | What it commemorates | Applies to |
| --- | --- | --- | --- |
| January (first week) | New Year's Day | Beginning of the year | Nationwide |
| April (varies) | Easter-related holidays | Christian holy days | Nationwide |
| May (1st week) | Labour Day | Workers' rights and labor movement | Nationwide |
| May (late) | Ascension (varies) | Christian feast day | Nationwide |
| July (mid-month) | Bastille Day | French National Day | Nationwide |
| August (mid-month) | Assumption of Mary | Christian feast day | Nationwide |
| November (early) | All Saints' Day | Christian remembrance | Nationwide |
| November (mid-month) | Armistice Day | End of WWI (1918) | Nationwide |
| December (late) | Christmas Day | Christmas celebration | Nationwide |
