# Baby Animal Terms (Young Juvenile Names by Species)

| Category | Animal | Baby / Juvenile Term(s) |
| --- | --- | --- |
| Mammal | Cat | kitten |
| Mammal | Goat | kid |
| Mammal | Sheep | lamb |
| Mammal | Pig | piglet |
| Mammal | Kangaroo | joey |
| Mammal | Horse | foal, colt, filly |
| Bird | Chicken | chick |
| Bird | Duck | duckling |
| Bird | Goose | gosling |
| Bird | Owl | owlet |
| Reptile | Crocodile | hatchling |
| Amphibian | Salamander | larva, eft |
| Fish | Shark | pup |
| Insect | Butterfly | caterpillar, larva |
