# U.S. Teacher Occupations — Annual Mean Wage (National Summary)

| Teacher occupation | Annual mean wage (United States) |
| --- | ---: |
| Preschool Teachers, Except Special Education | $35,120 |
| Kindergarten Teachers, Except Special Education | $62,480 |
| Elementary School Teachers, Except Special Education | $65,090 |
| Middle School Teachers, Except Special Education | $64,290 |
| Secondary School Teachers, Except Special and Career/Technical Education | $67,310 |
| Special Education Teachers, Kindergarten and Elementary School | $67,420 |
| Special Education Teachers, Middle School | $68,110 |
| Special Education Teachers, Secondary School | $68,550 |
| Career/Technical Education Teachers, Secondary School | $63,890 |
