# Metric Tap Drill Size Chart (ISO Metric Threads) — Coarse & Fine Pitch

| Thread designation | Pitch (mm) | Recommended tap drill (mm) | Notes |
|---|---:|---:|---|
| M3 × 0.5 | 0.50 | 2.5 | Common coarse |
| M3 × 0.35 | 0.35 | 2.65 | Fine pitch |
| M4 × 0.7 | 0.70 | 3.3 | Common coarse |
| M5 × 0.8 | 0.80 | 4.2 | Common coarse |
| M6 × 1.0 | 1.00 | 5.0 | Common coarse |
| M6 × 0.75 | 0.75 | 5.25 | Fine pitch |
| M8 × 1.25 | 1.25 | 6.8 | Common coarse |
| M8 × 1.0 | 1.00 | 7.0 | Fine pitch |
| M10 × 1.5 | 1.50 | 8.5 | Common coarse |
| M10 × 1.25 | 1.25 | 8.8 | Fine pitch |
| M12 × 1.75 | 1.75 | 10.2 | Common coarse |
| M12 × 1.25 | 1.25 | 10.8 | Fine pitch |
