# Farah Khan
> Filmography

| Year | Show | Network | Notes |
| --- | --- | --- | --- |
| 2004 | Indian Idol 1 | Sony TV | Co-judge with Anu Malik and Sonu Nigam |
| 2005–2006 | Indian Idol 2 | Sony TV | Co-judge with Anu Malik and Sonu Nigam |
| 2006 | Jhalak Dikhhla Jaa 1 | Sony TV | Co-judge with Shilpa Shetty and Sanjay Leela Bhansali |
| 2008 | Jo Jeeta Wohi Super Star 1 | Star Plus | Co-judge with Vishal-Shekhar |
| 2008 | Nach Baliye 4 | Star Plus | Co-judge with Karisma Kapoor and Arjun Rampal |
| 2009 | Entertainment Ke Liye Kuch Bhi Karega | Sony TV | Co-judge with Anu Malik |
| 2009 | Entertainment Ke Liye Sub Kuch Karega | Sony TV | Co-judge with Anu Malik |
| 2010 | Dance India Dance Li'l Masters 1 | Zee TV | Co-judge with Sandip Soparrkar |
| 2010 | Entertainment Ke Liye Kuch Bhi Karega 3 | Sony TV | Co-judge with Anu Malik |
| 2011 | Entertainment Ke Liye Kuch Bhi Karega 4 | Sony TV | Co-judge with Anu Malik |
| 2011 | Just Dance | Star Plus | Co-judge with Hrithik Roshan and Vaibhavi Merchant |
| 2012 | Dance Ke Superkids | Zee TV | Co-judge with Geeta Kapoor and Marzi Pestonji |
| 2012 | India's Got Talent (Season 4) | Colors (TV channel) | Co-judge with Karan Johar and Kirron Kher |
| 2013 | Nach Baliye: Shriman v/s Shrimati | Star Plus | Co-judge with Terence Lewis and Shilpa Shetty |
| 2013 | Dance India Dance Supermoms | Zee TV | Co-judge with Terence Lewis and Marzi Pestonji |
| 2013, 2014 | Comedy Nights with Kapil | Colors | Herself |
| 2014 | Entertainment Ke Liye Kuch Bhi Karega 5 | Sony TV | Co-judge with Anu Malik |
| 2015 | Bigg Boss Halla Bol | Colors TV | Co-host with Salman Khan |
| 2015 | Farah Ki Dawat | Colors TV | Host |
| 2015 | Nach Baliye 7 | Star Plus | Co-judge with Preity Zinta and Chetan Bhagat (for 1episode) |
| 2016 | Comedy Nights Bachao | Colors | Herself |
