# VSEPR Shape and Octahedral Isomer Count Reference (Geometry + Isomerism)

| Electron groups (steric number) | Common VSEPR family | Example formula pattern | Named shape | Number of geometric isomers | Optical isomer possibility |
|---:|---|---|---|---:|---|
| 4 | Tetrahedral family | AX4 | Tetrahedral | 1 | no |
| 4 | Tetrahedral family | AX2E2 | Bent | 1 | no |
| 5 | Trigonal bipyramidal family | AX5 | Trigonal bipyramidal | 1 | no |
| 6 | Octahedral family | ML6 | Octahedral | 1 | no |
| 6 | Octahedral family | MLA5LB | Octahedral | 1 | no |
| 6 | Octahedral family | MLA4LB2 | Octahedral (cis/trans) | 2 | no |
| 6 | Octahedral family | MLA3LB3 | Octahedral (fac/mer) | 2 | no |
| 6 | Octahedral family | MLA2LB2LC2 | Octahedral (multiple) | 5 | sometimes |
| 6 | Octahedral family | MLA2LBLC LD | Octahedral (multiple) | 6 | sometimes |
