# Asia-Pacific Economies — GDP (PPP, current international $) by Year (2010–2016)

| Economy | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| China | 10,100 | 11,200 | 12,400 | 13,700 | 15,100 | 16,600 | 18,200 |
| India | 4,200 | 4,600 | 5,000 | 5,400 | 5,900 | 6,400 | 7,100 |
| Japan | 4,300 | 4,500 | 4,700 | 4,800 | 4,900 | 5,000 | 5,100 |
| Indonesia | 2,000 | 2,200 | 2,400 | 2,600 | 2,800 | 3,000 | 3,200 |
| Australia | 1,050 | 1,090 | 1,130 | 1,170 | 1,210 | 1,250 | 1,300 |
| Republic of Korea | 1,450 | 1,530 | 1,610 | 1,700 | 1,790 | 1,880 | 1,980 |
| Philippines | 520 | 560 | 600 | 650 | 700 | 741 | 800 |
| Vietnam | 360 | 390 | 420 | 455 | 500 | 552 | 610 |
| Singapore | 340 | 360 | 380 | 400 | 430 | 472 | 500 |
| Hong Kong SAR | 300 | 320 | 340 | 360 | 390 | 415 | 440 |
