# Snakes of Texas (Venomous and Non-venomous) — Common Sightings by Ecoregion

| Category | Species (Scientific) | Common Name | Texas Area / Notes |
|---|---|---|---|
| Venomous | Crotalus atrox | Western diamondback rattlesnake | Statewide; most common venomous snake in many regions |
| Venomous | Agkistrodon contortrix | Copperhead | East & Central Texas; wooded creeks |
| Venomous | Agkistrodon piscivorus | Cottonmouth | East Texas swamps, bayous |
| Venomous | Micrurus tener | Texas coral snake | South & East Texas; secretive |
| Non-venomous | Pantherophis obsoletus | Western rat snake | Many habitats; often near barns |
| Non-venomous | Pituophis catenifer | Gopher snake | Panhandle & West; mistaken for rattlesnakes |
| Non-venomous | Lampropeltis splendida | Desert kingsnake | West Texas deserts |
| Non-venomous | Nerodia erythrogaster | Plain-bellied watersnake | Ponds/slow water; frequently confused with cottonmouths |
| Non-venomous | Thamnophis sirtalis | Common garter snake | Urban parks and fields |
| Non-venomous | Heterodon platirhinos | Eastern hognose snake | Bluffing behavior; harmless |
