# UK Home Phone Line Rental (Line-only) Costs by Provider (Monthly vs Annual Prepay Equivalent)

| Provider | Plan name | Pay-monthly line rental (£/month) | Annual prepay price (£/year) | Annual prepay equivalent (£/month) | Notes (line-rental only) |
| --- | --- | ---: | ---: | ---: | --- |
| BT | Line Rental (standard) | 16.99 | 189.00 | 15.75 | Phone line only (no broadband/TV) |
| Plusnet | Line Rental (standard) | 16.50 | 180.00 | 15.00 | Line rental only |
| TalkTalk | Line Rental (standard) | 17.70 | 198.00 | 16.50 | Line rental only |
| Virgin Media | Phone Line Rental | 18.25 | 204.00 | 17.00 | Phone line only (no bundle pricing) |
| Sky | Pay-as-you-talk line rental | 17.40 | 192.00 | 16.00 | Line rental only; calls charged separately |
| Vodafone | Home Phone Line Rental | 16.00 | 174.00 | 14.50 | Standalone home phone line |
| Zen Internet | Phone Line Rental | 17.99 | 198.00 | 16.50 | Standalone line rental |
| SSE Telecoms | Home Phone Line Rental | 15.99 | 168.00 | 14.00 | Standalone line rental |
| Post Office | HomePhone line rental | 16.49 | 180.00 | 15.00 | Standalone line rental |
