# American Chess Congress
> 8 th American Chess Congress ( 1921 )

|  | Player | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 0 | 1 | 2 | Total |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | Dawid Janowski ( FRA ) | x | 0 | 1 | ½ | ½ | 1 | ½ | 1 | 1 | 1 | 1 | 1 | 8½ |
| 2 | Norman Tweed Whitaker ( USA ) | 1 | x | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 8 |
| 3 | Charles Jaffe ( USA ) | 0 | 1 | x | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 7 |
| 4 | Martin D. Hago ( USA ) | ½ | 0 | 0 | x | ½ | ½ | 1 | ½ | 1 | ½ | 1 | 1 | 6½ |
| 5 | Samuel Factor ( USA ) | ½ | 0 | 0 | ½ | x | ½ | 0 | 1 | ½ | 1 | 1 |  | 6 |
| 6 | Frank James Marshall ( USA ) | 0 | 0 | 1 | ½ | ½ | x | 1 | 0 | ½ | ½ | 1 | 1 | 6 |
| 7 | Vladimir Sournin ( USA ) | ½ | 1 | 1 | 0 | 1 | 0 | x | 0 | ½ | ½ | 1 | ½ | 6 |
| 8 | Sydney T. Sharp ( USA ) | 0 | 0 | 0 | ½ | 0 | 1 | 1 | x | ½ | ½ | 1 | 1 | 5½ |
| 9 | Isador Samuel Turover ( USA ) | 0 | 1 | 0 | 0 | ½ | ½ | ½ | ½ | x | 1 | 1 | ½ | 5½ |
| 10 | Stasch Mlotkowski ( USA ) | 0 | 0 | 1 | ½ | 0 | ½ | ½ | ½ | 0 | x | 1 | 1 | 5 |
| 11 | J. B. Harvey ( USA ) | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | x | 1 | 1 |
| 12 | Edward Schuyler Jackson ( USA ) | 0 | 0 | 0 | 0 | 0 | 0 | ½ | 0 | ½ | 0 | 0 | x | 1 |
