# Philippines Traveler Vaccines — Dosing Schedule and Protection Duration (Reference Table)

| Vaccine Series | Dose | Minimum Interval | Typical Timing | Estimated Protection | Protection Duration |
| --- | --- | --- | --- | --- | --- |
| Tetanus toxoid (TT/Tdap/Td) | Dose 1 | — | Day 0 | Low/priming | Limited |
| Tetanus toxoid (TT/Tdap/Td) | Dose 2 | 4 weeks | Week 4 | Higher | ~3 years |
| Tetanus toxoid (TT/Tdap/Td) | Dose 3 | 6 months | Month 6 | High | ~5 years |
| Tetanus toxoid (TT/Tdap/Td) | Dose 4 | 12 months | Month 18 | Very high | ~10 years |
| Hepatitis A | Dose 1 | — | Day 0 | Good after a few weeks | Short–medium |
| Hepatitis A | Dose 2 | 6 months | Month 6 | Very high | Long |
| Typhoid (injectable) | Single dose | — | ≥2 weeks pre-travel | Moderate–high | ~2 years |
| Yellow fever | Single dose | — | ≥10 days pre-travel | High | Long |
| Rabies (pre-exposure) | Dose 1 | — | Day 0 | Priming | — |
