# Marvel Cinematic Universe Films — Theatrical Release Timeline (U.S. dates)

| Film | MCU Phase | U.S. theatrical release date |
|---|---|---|
| Iron Man | Phase One | May 2, 2008 |
| The Incredible Hulk | Phase One | June 13, 2008 |
| Iron Man 2 | Phase One | May 7, 2010 |
| Thor | Phase One | May 6, 2011 |
| Captain America: The First Avenger | Phase One | July 22, 2011 |
| The Avengers | Phase One | May 4, 2012 |
| Iron Man 3 | Phase Two | May 3, 2013 |
| Thor: The Dark World | Phase Two | November 8, 2013 |
| Captain America: The Winter Soldier | Phase Two | April 4, 2014 |
| Guardians of the Galaxy | Phase Two | August 1, 2014 |
| Avengers: Age of Ultron | Phase Two | May 1, 2015 |
| Ant-Man | Phase Two | July 17, 2015 |
