# Installed Central Air Conditioner Cost by Brand (AC + Evaporator Coil, Typical Installed Range)

| Manufacturer / Brand | Typical Installed Cost (AC + Evaporator Coil) | Includes Standard Pad, Electrical Hookup & Refrigerant (Y/N) | Notes |
|---|---:|---|---|
| Amana | $2,450–$4,150 | Y | Mid-tier pricing; often sold with matched coil bundles |
| Bryant | $2,650–$4,500 | Y | Carrier family brand; pricing varies by dealer network |
| Carrier | $2,900–$4,900 | Y | Common premium option; higher labor in some markets |
| Daikin | $2,400–$4,200 | Y | Often bundled through Daikin/Goodman distribution channels |
| Frigidaire | $2,100–$3,800 | Y | Budget-friendly; fewer ultra-high-end models |
| Trane | $3,000–$5,100 | Y | Typically higher installed cost; strong brand premium |
| York | $2,300–$4,000 | Y | Broad installer availability; mid-range installed pricing |
| Coleman | $2,200–$3,950 | Y | Comparable to other value/mid-tier brands |
| Ruud | $2,450–$4,350 | Y | Sister brand to Rheem; similar installed-cost band |
| Nordyne (Maytag/Tappan) | $2,150–$3,850 | Y | Value/mid-tier; pricing depends heavily on contractor |
