# List of ACE Inhibitors (Brand and Generic Names)

| Drug class | Brand name | Generic name |
|---|---|---|
| ACE inhibitor | Zestril | lisinopril |
| ACE inhibitor | Prinivil | lisinopril |
| ACE inhibitor | Vasotec | enalapril |
| ACE inhibitor | Altace | ramipril |
| ACE inhibitor | Accupril | quinapril |
| ACE inhibitor | Lotensin | benazepril |
| ACE inhibitor | Capoten | captopril |
| ACE inhibitor | Mavik | trandolapril |
| ACE inhibitor | Monopril | fosinopril |
| ACE inhibitor | Univasc | moexipril |
