# 2009 NBA draft
> Draft

| Round | Pick | Player | Position | Nationality [n 1] | Team | School/club team |
| --- | --- | --- | --- | --- | --- | --- |
| 1 | 1 | Griffin, Blake Blake Griffin * | PF | United States | Los Angeles Clippers | Oklahoma ( So. ) |
| 1 | 2 | Thabeet, Hasheem Hasheem Thabeet | C | Tanzania | Memphis Grizzlies | Connecticut ( Jr. ) |
| 1 | 3 | Harden, James James Harden * | SG | United States | Oklahoma City Thunder | Arizona State ( So. ) |
| 1 | 4 | Evans, Tyreke Tyreke Evans | SG | United States | Sacramento Kings | Memphis ( Fr. ) |
| 1 | 5 | Rubio, Ricky Ricky Rubio | PG | Spain | Minnesota Timberwolves (from Washington ) [a] | DKV Joventut ( Spain ) [11] |
| 1 | 6 | Flynn, Jonny Jonny Flynn | PG | United States | Minnesota Timberwolves [b] | Syracuse ( So. ) |
| 1 | 7 | Curry, Stephen Stephen Curry * | PG | United States | Golden State Warriors | Davidson ( Jr. ) |
| 1 | 8 | Hill, Jordan Jordan Hill | PF | United States | New York Knicks | Arizona ( Jr. ) |
| 1 | 9 | DeRozan, DeMar DeMar DeRozan + | SG | United States | Toronto Raptors | USC ( Fr. ) |
| 1 | 10 | Jennings, Brandon Brandon Jennings | PG | United States | Milwaukee Bucks | Lottomatica Roma ( Italy ) [12] |
| 1 | 11 | Williams, Terrence Terrence Williams | SG | United States | New Jersey Nets | Louisville ( Sr. ) |
| 1 | 12 | Henderson, Gerald Gerald Henderson | SG | United States | Charlotte Bobcats | Duke ( Jr. ) |
| 1 | 13 | Hansbrough, Tyler Tyler Hansbrough | PF | United States | Indiana Pacers | North Carolina ( Sr. ) |
| 1 | 14 | Clark, Earl Earl Clark | SF | United States | Phoenix Suns | Louisville ( Jr. ) |
| 1 | 15 | Daye, Austin Austin Daye | SF | United States | Detroit Pistons | Gonzaga ( So. ) |
| 1 | 16 | Johnson, James James Johnson | SF | United States | Chicago Bulls | Wake Forest ( So. ) |
| 1 | 17 | Holiday, Jrue Jrue Holiday + | PG | United States | Philadelphia 76ers | UCLA ( Fr. ) |
| 1 | 18 | Lawson, Ty Ty Lawson | PG | United States | Minnesota Timberwolves (from Miami , [c] traded to Denver ) [A] | North Carolina ( Jr. ) |
| 1 | 19 | Teague, Jeff Jeff Teague + | PG | United States | Atlanta Hawks | Wake Forest ( So. ) |
