# Corporate tax
> International corporate tax rates

| Country | 2015 Corporate tax rate |
| --- | --- |
| Australia | 30% |
| Austria | 25% |
| Belgium | 33% |
| Canada | 15% |
| Chile | 22.5% |
| Czech Republic | 19% |
| Denmark | 23.5% |
| Estonia | 20% |
| Finland | 20% |
| France | 34.43% |
| Germany | 15.83% |
| Greece | 26% |
| Hungary | 19% |
| Iceland | 20% |
| Iran | 25% |
| Ireland | 12.5% |
| Israel | 26.5% |
| Italy | 27.5% |
| Korea | 22% |
| Luxembourg | 22.47% |
| Mexico | 30.0% |
| Netherlands | 25% |
| New Zealand | 28% |
| Norway | 27% |
| Poland | 19% |
| Portugal | 28% |
| Slovak Republic | 22% |
| Slovenia | 17% |
| Spain | 28% |
| Sweden | 22% |
| Switzerland | 8.5% |
| Turkey | 20% |
| United Kingdom | 20% |
| United States | 35% |
