# Earth's Crust Composition Reported as Common Mineral Compounds (converted to weight percent)

| Component type | Compound name | Formula | Estimated abundance (wt%) |
|---|---|---|---:|
| Silicate framework | Quartz | SiO2 | 12.0 |
| Silicate framework | Feldspar (albite endmember) | NaAlSi3O8 | 23.0 |
| Silicate framework | Feldspar (orthoclase endmember) | KAlSi3O8 | 21.0 |
| Silicate framework | Feldspar (anorthite endmember) | CaAl2Si2O8 | 10.0 |
| Ferromagnesian | Olivine (forsterite endmember) | Mg2SiO4 | 6.0 |
| Ferromagnesian | Pyroxene (enstatite endmember) | MgSiO3 | 8.0 |
| Sheet silicate | Mica (muscovite) | KAl2(AlSi3O10)(OH)2 | 5.0 |
| Sheet silicate | Clay (kaolinite) | Al2Si2O5(OH)4 | 7.0 |
| Carbonate | Calcite | CaCO3 | 3.0 |
| Accessory | Apatite | Ca5(PO4)3(F,Cl,OH) | 1.0 |
