# Common Classroom Chemicals  Formulas and Uses (GCSE Science Context)

| Substance | Formula | Type/Class | Typical School Use | Hazards |
| --- | --- | --- | --- | --- |
| Hydrochloric acid | HCl | Acid | Titrations, reaction rates | Corrosive |
| Sodium hydroxide | NaOH | Alkali | Neutralisation practicals | Corrosive |
| Calcium carbonate | CaCO3 | Carbonate salt | Acid-carbonate reactions | Low hazard |
| Copper(II) sulfate | CuSO4 | Salt | Crystallisation | Harmful |
| Ethanol | C2H5OH | Alcohol | Combustion demonstrations | Flammable |
| Magnesium ribbon | Mg | Metal | Burning magnesium | Fire risk |
| Hydrogen peroxide | H2O2 | Oxidiser | Catalase experiments | Irritant |
| Ammonia solution | NH3(aq) | Alkali | Diffusion/neutralisation | Irritant |
| Sulfuric acid | H2SO4 | Acid | Electrolysis / dehydration demos | Corrosive |
| Sodium chloride | NaCl | Ionic compound | Electrolysis, solutions | Low hazard |
