# Law & Order  Special Victims Unit — Episode  Shadow Play  (Season 14) Cast and Credited Roles

| Billing group | Performer | Credited on-screen role |
| --- | --- | --- |
| Main | Mariska Hargitay | Olivia Benson |
| Main | Ice-T | Odafin "Fin" Tutuola |
| Main | Danny Pino | Nick Amaro |
| Main | Kelli Giddish | Amanda Rollins |
| Recurring | Raul Esparza | Rafael Barba |
| Guest | B.D. Wong | Dr. George Huang |
| Guest | Tamara Tunie | Melinda Warner |
| Guest | John Leguizamo | Carlos Vega |
| Guest | Jane Krakowski | Maggie Doyle |
