# Washington Supreme Court
> Justices

| Title | Name | Joined the Court | Current Term Ends | Appointed By | Legal Education |
| --- | --- | --- | --- | --- | --- |
| – | Chief Justice | Barbara Madsen | 1993 | 2017 | Gonzaga University School of Law |
| – | Associate Chief Justice | Charles W. Johnson | 1991 | 2021 | Seattle University School of Law |
| – | Justice | Susan Owens | 2001 | 2019 | University of North Carolina School of Law |
| – | Justice | Mary Fairhurst | 2003 | 2021 | Gonzaga University School of Law |
| Justice | Debra L. Stephens | 2008 | 2021 | Christine Gregoire | Gonzaga University School of Law |
| – | Justice | Charlie K. Wiggins | 2011 | 2017 | Duke University School of Law |
| Justice | Steven C. Gonzalez | 2012 | 2019 | Christine Gregoire | University of California, Berkeley School of Law |
| – | Justice | Sheryl Gordon McCloud | 2013 | 2019 | USC Gould School of Law |
| Justice | Mary Yu | 2014 | 2017 | Jay Inslee | Notre Dame Law School |
