# Prescription and administration abbreviations with fully written instructions (including ambiguous terms)

| Abbreviation | Full meaning (written out) | Notes (when ambiguous) |
| --- | --- | --- |
| PO | by mouth (oral administration) | Route of administration |
| PR | by rectum (rectal administration) | Route of administration |
| SL | under the tongue (sublingual administration) | Route of administration |
| IM | into a muscle (intramuscular injection) | Route of administration |
| IV | into a vein (intravenous administration) | Route of administration |
| BID | twice a day | Frequency |
| TID | three times a day | Frequency |
| QID | four times a day | Frequency |
| PRN | as needed | Often paired with a symptom (e.g., pain) |
| NPO | nothing by mouth | Pre-procedure or aspiration-risk orders |
| HS | at bedtime | Can also be used to mean “hour of sleep” in some notes |
| OD | right eye (oculus dexter) | Can also mean “once daily” in some regions; context required |
| OS | left eye (oculus sinister) | Ophthalmic prescriptions |
| OU | both eyes (oculus uterque) | Ophthalmic prescriptions |
