# Adobe Software Catalog (Selected Products and Availability)

| Product name | Product type | Latest major version (as listed) | Available in (bundle/offering) | Primary use |
| --- | --- | --- | --- | --- |
| Adobe Photoshop | Image editing application | CC 2024 | Creative Cloud (Single App / All Apps) | Photo editing, compositing |
| Adobe Illustrator | Vector graphics application | CC 2024 | Creative Cloud (Single App / All Apps) | Logos, illustrations, vector design |
| Adobe InDesign | Page layout application | CC 2024 | Creative Cloud (Single App / All Apps) | Print & digital publishing layout |
| Adobe Premiere Pro | Video editing application | CC 2024 | Creative Cloud (Single App / All Apps) | Non-linear video editing |
| Adobe After Effects | Motion graphics application | CC 2024 | Creative Cloud (Single App / All Apps) | Motion graphics, VFX compositing |
| Adobe Audition | Audio editing application | CC 2024 | Creative Cloud (Single App / All Apps) | Audio recording, cleanup, mixing |
| Adobe Animate | 2D animation application | 2024 | Creative Cloud (Single App / All Apps) | Interactive & character animation |
| Adobe Dreamweaver | Web authoring application | 2021 | Creative Cloud (Single App / All Apps) | Web design & code editing |
| Adobe Lightroom | Photo workflow application | Classic 2024 | Creative Cloud Photography plan | Photo cataloging & RAW development |
| Adobe Acrobat Pro | PDF tool | 2024 | Acrobat subscription | PDF editing, signing, forms |
| Adobe XD | UI/UX design tool | 57 | Creative Cloud (legacy availability) | UI/UX design & prototyping |
| Adobe Bridge | Asset management utility | CC 2024 | Creative Cloud (included) | File browsing & DAM helper |
