# Glycemic Index of Common Foods (GI Only; No Glycemic Load)

| Food (single item per row) | Glycemic Index (GI) | Reference Serving Size |
|---|---:|---|
| White bread | 75 | 1 slice (30 g) |
| Whole wheat bread | 69 | 1 slice (30 g) |
| Corn flakes | 81 | 30 g |
| Banana (ripe) | 62 | 1 medium (118 g) |
| Apple | 38 | 1 medium (182 g) |
| Brown rice (cooked) | 50 | 150 g |
| White rice (cooked) | 73 | 150 g |
| Pasta (al dente) | 49 | 180 g |
| Baked potato | 85 | 1 medium (173 g) |
| Rolled oats | 55 | 40 g |
| Orange juice | 50 | 250 ml |
| Chocolate bar | 42 | 40 g |
