# Irish Sports Personality of the Year — Winners by Year

| Year | Winner | Sport/Discipline | Country |
|---:|---|---|---|
| 2019 | Katie Taylor | Boxing | Ireland |
| 2018 | Rory McIlroy | Golf | Northern Ireland (UK) |
| 2017 | Paul O'Donovan | Rowing | Ireland |
| 2016 | Kellie Harrington | Boxing | Ireland |
| 2015 | Conor McGregor | Mixed martial arts | Ireland |
| 2014 | Brian O'Driscoll | Rugby union | Ireland |
| 2013 | Johnny Sexton | Rugby union | Ireland |
| 2012 | Michael Phelps | Swimming | United States |
| 2011 | Darren Clarke | Golf | Northern Ireland (UK) |
| 2010 | Sonia O'Sullivan | Athletics | Ireland |
