# List of Martin Mystery episodes
> Season 3 ( 2005-2006 )

| # | Prod. # | Original Airdate | Title | Descriptions | Enemies |
| --- | --- | --- | --- | --- | --- |
| 41 | 301 | January 2, 2005 | Curse of the Looking Glass | Darla, a lonely girl, at Torrington finds a mirror that makes her pretty "like the Jenni's of the world" but every boy she touches turns into a monster. Meanwhile, Billy has a new gadget that enables to blend in with the group and helps the team in this mission. | Crispangores |
| 42 | 302 | January 5, 2005 | Mystery of The Teen Town | A boy in a town discovers a mystery website with a trapped evil alien that uses the energy of others to get out of his internet prison. | Morphed Damian, Damian's Best Friends, Vargos |
| 43 | 303 | May 19, 2005 | Attack of the Evil Roommate | Martin orders some paranormal objects from a website, almost all of which are fake, except one which, when Diana breaks it, creates another Diana. | Clones of Diana |
| 44 | 304 | June 26, 2005 | Web of the Spider Creatures | Torrington's old biology teacher, Mr. Black, allows himself to be bitten by a spider, transforming him into a half-spider half-human creature to get revenge on the staff who forced him into retirement. (The spider was really a spitting spider, which is why it is shown that Mr. Black was able to fire a web thread from his mouth.) | Mutated Mr. Black |
| 45 | 305 | August 3, 2005 | Attack of the Lawn Gnomes | Some teens stole a lawn gnome from an old lady's garden, and the gnomes come to life and turn everyone into lawn gnomes until they get the missing gnome back. | Living lawn gnomes, people turned into gnomes |
| 46 | 306 | August 10, 2005 | Rise of the Sea Mutants | A boy decides to raise sea monkeys, but when the sea monkeys don't appear he flushes the packet down the toilet, where they reach polluted water and become sea mutants. | Sea Mutants |
| 47 | 307 | September 6, 2005 | Hairier and Scarier | Martin gets scratched by the Phantom Werewolf when he cleans the cages of the Center. Soon afterwards, the Phantom Werewolf escapes and turns Torrington students into werewolves to serve him. | Phantom Werewolf, Werewolf Martin, Werewolf Students |
| 48 | 308 | September 13, 2005 | Wrath of the Torrington Worm | Martin's dad accidentally releases and gets swallowed by a prehistoric worm, which Martin had already caught. What's worse, if Martin doesn't stop the worm soon, his father and the worm's DNA will become merged forever. | Torrington Worm, Mutated Gerard Mystery |
| 49 | 309 | October 14, 2005 | The Warlock Returns | Martin releases an evil warlock in order to win a competition. | Morcan the Warlock, Martin (first-half) |
| 50 | 310 | October 21, 2005 | Return of the Imaginary Friend | A teenage girl's teddy bear turns vicious and starts turning her once-friends into doll replicas. | Teddy ( imaginary friend come to life) |
| 51 | 311 | November 1, 2005 | Night of the Scarecrow | Martin, Diana & Java visit Martin's aunt but find out a secret of the farmland. It seems that a previous French owner used a talisman to make his farmland his own for good. Up to now, the scarecrow in Martin's aunt's garden scarecrow starts to literally scare the life out of anything that trespasses. | Mystic Scarecrow |
| 52 | 312 | November 3, 2005 | The House of Zombies | When Martin, Diana, Java, and Billy go with M.O.M on a six-day corporate retreat, a bad storm comes and they are forced to take shelter in a creepy old abandoned house. What they don't know is that the man who built the house is a spurned lover who still hasn't left...and doesn't want to let them leave. An homage (or remake) of Sam Raimi's "Evil Dead" | Spirit of the House Builder, Zombified M.O.M, Zombified Java, Zombified Billy, Zombified Diana, Zombified Travelers |
| 53 | 313 | December 1, 2005 | Rise of the Secret Society | Martin and schoolmate Jerry are chosen to join a secret society, The Bones, where membership entails cool powers like telekenesis and free stuff like extra dessert and sports cars. Both are thrilled until they find what awaits them in their "entrance test"... | The Bones, Labyrinth Creature |
| 54 | 314 | January 2, 2006 | Day of the Shadows Pt. 1 | Martin, Diana, and Billy are confused when one day they wake up to find themselves the only ones on campus...and what appears to be the world. They soon meet Kaitlin, another confused person who turns out to be almost like Martin's clone. They find Billy after Diana disappears into a black hole, and find out that people's own shadows are attacking them and dragging them into a strange shadow world. | Shadow Creatures |
| 55 | 315 | January 9, 2006 | Day of the Shadows Pt. 2 | Kaitlin has fallen victim to her shadow, and as usual, it's up to Martin and Billy to save the day. They've found out that since the people who were safe slept in the light, that's the thing that the shadow creatures are afraid of. With the help of the Legendex, they realize that the shadow creatures' leader, Barock the Faceless one, wants to take over Earth, but needs all the humans in his realm before he can cross over—and when he does, the gateway will forever close. When Billy's taken too and Martin is the last being on Earth, the showdown begins. | Barock the Faceless one, Shadow Creatures |
| 56 | 316 | January 16, 2006 | Return of the Djini | Diana is ticked off with Martin and Kaitlin, and the djini uses this to her advantage as she possesses her with an enchanted bracelet. The djini is after revenge as she uses Diana to tempt Billy, Java, and Martin into the djini's enchantment to get free. | Djini, Possessed Diana |
| 57 | 317 | January 22, 2006 | The Tale of The Enchanted Keys | A famous writer, Evan Prince, gives Martin a typewriter...without telling him that the stories Martin writes will actually come to life. | Giant Bees, Mad Marionette, Zombie Dog, Malevolent psycho clown |
| 58 | 318 | January 29, 2006 | All I want for X-mas | Martin and Diana are stuck at school for Christmas until MOM invites them to the Center's Christmas party. All goes well, until an Evil Elf intends on ruining everyone's Christmas by twisting their Christmas wishes. | Mijelgnij the Evil Elf, Animated dolls |
| 59 | 319 | February 6, 2006 | Love Spell From The Underworld | Martin is reunited with his first crush, Vivian Michelle, who embarrassed him during the grade school times. Martin tries to avoid her, but when he finds out that Vivian has changed, he changes his mind about her. Diana suspects that Vivian is different due to her strange skin. Vivian is actually Venoso, a mutated chameleon who was the first monster Martin ever caught, out for revenge. | Venoso pretending to be Vivian Michelle |
| 60 | 320 | February 13, 2006 | Journey to Terrorland | M.O.M, Java, Billy, and Diana decide to take Martin to an amusement park for his one-year investigator reunion, but when Billy goes missing the gang decides to look for him. M.O.M. and Java get turned into zombies and Diana gets turned into a two headed sea serpent. Martin soon finds out that the park is being haunted by an Egyptian spirit. | Vampire , Zombies , Phantom Eel, Werewolves , Mummies , Zombie Java, Zombie M.O.M, Twin Eel Diana, Vampire Billy, Egyptian Scarab Spirit |
