# Directory of Cruise Lines (Selected) — Operational Status and Headquarters

| Cruise Line (Company) | Status | Headquarters (Country/City) | Parent Group (if any) |
| --- | --- | --- | --- |
| Norwegian Cruise Line | Operational | Miami, United States | Norwegian Cruise Line Holdings |
| Oceania Cruises | Operational | Miami, United States | Norwegian Cruise Line Holdings |
| Silversea Cruises | Operational | Monaco | Royal Caribbean Group |
| Celebrity Cruises | Operational | Miami, United States | Royal Caribbean Group |
| Princess Cruises | Operational | Santa Clarita, United States | Carnival Corporation & plc |
| Cunard Line | Operational | Southampton, United Kingdom | Carnival Corporation & plc |
| Costa Cruises | Operational | Genoa, Italy | Carnival Corporation & plc |
| MSC Cruises | Operational | Geneva, Switzerland | MSC Group |
| P&O Cruises (UK) | Operational | Southampton, United Kingdom | Carnival Corporation & plc |
| Hurtigruten (Coastal & Expedition) | Operational | Oslo, Norway | Hurtigruten Group |
| Paul Gauguin Cruises | Operational | Bellevue, United States | Pacific Beachcomber (Ponant affiliate) |
| Windstar Cruises | Operational | Miami, United States | Xanterra Travel Collection |
