# London Stations — Entry Exit Gates and Staffing (Operational Profile)

| Station | Gate Line Count | Typical Staffing Level | Step-free Access | Ticket Office | Night Tube/24h | Borough |
|---|---:|---|---|---|---|---|
| Oxford Circus | 4 | High | Partial | Yes | Yes | Westminster |
| Bank | 6 | High | Partial | Yes | Limited | City of London |
| King's Cross St Pancras | 7 | High | Yes | Yes | Yes | Camden |
| London Bridge | 5 | High | Yes | Yes | Yes | Southwark |
| Victoria | 5 | High | Yes | Yes | Yes | Westminster |
| Waterloo | 6 | High | Yes | Yes | Yes | Lambeth |
| Paddington | 5 | Medium | Yes | Yes | Yes | Westminster |
| Stratford | 6 | Medium | Yes | Yes | Yes | Newham |
| Canary Wharf | 4 | Medium | Yes | Yes | Yes | Tower Hamlets |
