# History of Microsoft Office
> Windows Office version up to New versions

| Home Basic* | Home and Student | Standard | Small Business | Professional | Professional Plus | Enterprise | Ultimate |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Word | Word | Word | Word | Word | Word | Word | Word |
| Excel | Excel | Excel | Excel | Excel | Excel | Excel | Excel |
|  | PowerPoint | PowerPoint | PowerPoint | PowerPoint | PowerPoint | PowerPoint | PowerPoint |
| Outlook |  | Outlook | Outlook + Business Contact Manager | Outlook + Business Contact Manager | Outlook | Outlook | Outlook + Business Contact Manager |
|  |  |  | Accounting Express | Accounting Express |  |  | Accounting Express |
|  |  |  | Publisher | Publisher | Publisher | Publisher | Publisher |
|  |  |  |  | Access | Access | Access | Access |
|  |  |  |  |  | InfoPath | InfoPath | InfoPath |
|  |  |  |  |  |  | Groove | Groove |
|  | OneNote |  |  |  |  | OneNote | OneNote |
|  |  |  |  |  | Communicator | Communicator | Communicator |
|  |  |  |  |  | Enterprise Content Manager | Enterprise Content Manager | Enterprise Content Manager |
|  |  |  |  |  | Electronic Forms | Electronic Forms | Electronic Forms |
|  |  |  |  |  | Information Rights Management and Policy Capabilities | Information Rights Management and Policy Capabilities | Information Rights Management and Policy Capabilities |
